term,new_term,file
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/hexo-boilerplate.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/marketplace/templates/vue-boilerplate.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/debug-rules/debug-rules.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/mtls/configure-mtls.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/waf/check-waf-mode.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-application/ea-request-lets-encrypt-certificates.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-application/ea-configure-ports/custom-ports.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-application/ea-cors/fix-cors-errors.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/edge-application/ea-request-lets-encrypt-certificates-via-api.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/devtools/customize-console-ui/index.mdx"
"domains","workloads","/app/src/content/docs/en/pages/guides/access-azion-console/access-azion-console.mdx"
"domains","workloads","/app/src/content/docs/en/pages/changelog/previous-years/previous-years-changelog.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/firewall-advanced-configurations/tune-waf.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/edit-edge-firewall/protect-your-domain.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/edit-edge-firewall/edit-main-settings.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/secure-application.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/edit-zone/edit-main-settings.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/secure-dns.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/transport-layer-security/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/transport-layer-security/mtls.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/troubleshoot/intelligent-dns-understand-metrics.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/automate/integrate-siems.mdx"
"domains","workloads","/app/src/content/docs/en/pages/secure-journey/overview.mdx"
"domains","workloads","/app/src/content/docs/en/pages/store-journey/storage/use-bucket-as-origin.mdx"
"domains","workloads","/app/src/content/docs/en/pages/build-journey/overview/overview.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/sdks/go.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/terraform/terraform.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/api-graphql/features/metrics-fields.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/api-graphql/overview/overview.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/azion-lib/usage/config.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/azion-lib/usage/domains.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/config/azion-config-js.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/commands/describe/describe.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/commands/update/update.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/commands/delete/delete.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/commands/create/create.mdx"
"domains","workloads","/app/src/content/docs/en/pages/devtools/cli/azion-cli/commands/list/list.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/get-started/go-live-with-azion.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/pricing/pricing.mdx"
